dataset,feature_set,regressor,target_transform,pool_holdout_split_mode,method,trial,budget_total,mape
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,8,99,12.14796916438998
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,9,8,12.227695811639936
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,9,16,15.529531109897588
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,9,24,15.156395055409307
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,9,32,15.257379921869823
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,9,40,9.383060007140898
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,9,48,10.827798501585674
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,9,56,9.100398168059613
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,9,64,10.153920234730432
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,9,72,9.202171235297492
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,9,80,9.764942037150234
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,9,88,10.42380300618887
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,9,96,11.572841563836516
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,9,99,10.792794541628735
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,10,8,18.357186979065528
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,10,16,14.68224703951484
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,10,24,18.070825540255097
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,10,32,12.577041655173463
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,10,40,13.30815576291543
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,10,48,12.569913628793802
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,10,56,11.26002644389059
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,10,64,10.856772683691686
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,10,72,9.57876414071425
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,10,80,10.596877525166413
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,10,88,10.29420600845407
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,10,96,9.68134335360164
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,10,99,9.810460365477986
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_iterative,1,8,26.12071949336208
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_iterative,1,16,23.015047946835487
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_iterative,1,24,24.667500347813203
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_iterative,1,32,21.831322200647787
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_iterative,1,40,19.99149987016675
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_iterative,1,48,20.92267498714416
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_iterative,1,56,22.22960827956281
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_iterative,1,64,20.06159112223173
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_iterative,1,72,19.106945133306105
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_iterative,1,80,19.970249143806235
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_iterative,1,88,18.935460985408923
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_iterative,1,96,19.333444058770123
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_iterative,1,99,18.30505490472204
